DATE,GBP/USD Fair value
2016-11-01,
2016-11-02,
2016-11-03,
2016-11-04,
2016-11-07,
2016-11-08,
2016-11-09,
2016-11-10,
2016-11-11,
2016-11-14,
2016-11-15,
2016-11-16,
2016-11-17,
2016-11-18,
2016-11-21,
2016-11-22,
2016-11-23,
2016-11-24,
2016-11-25,
2016-11-28,
2016-11-29,
2016-11-30,
2016-12-01,
2016-12-02,
2016-12-05,
2016-12-06,
2016-12-07,
2016-12-08,
2016-12-09,
2016-12-12,
2016-12-13,
2016-12-14,
2016-12-15,
2016-12-16,
2016-12-19,71.3604847446659
2016-12-20,72.09670618223657
2016-12-21,72.8255408942802
2016-12-22,73.7007961307381
2016-12-23,74.56243546441944
2016-12-26,75.40188109918732
2016-12-27,76.16181875720498
2016-12-28,77.12780177759139
2016-12-29,77.68850526786791
2016-12-30,78.00469289928249
2017-01-02,78.65157670129409
2017-01-03,79.27683933384056
2017-01-04,79.50150260344942
2017-01-05,79.73996346096618
2017-01-06,79.85994285898074
2017-01-09,79.8135230138257
2017-01-10,80.15866376398442
2017-01-11,80.42829589661328
2017-01-12,80.88064275638565
2017-01-13,81.49596225492083
2017-01-16,82.07589662927363
2017-01-17,82.16392972164427
2017-01-18,82.10091097368496
2017-01-19,81.83375686334516
2017-01-20,81.48538160382093
2017-01-23,81.21759146060869
2017-01-24,81.00000887506555
2017-01-25,80.82627523276922
2017-01-26,80.48449962206104
2017-01-27,80.1458849606565
2017-01-30,79.5504033455886
2017-01-31,79.12611778351256
2017-02-01,78.82458720269439
2017-02-02,78.53457850317191
2017-02-03,78.15683556284907
2017-02-06,77.90979050354305
2017-02-07,77.7357524892916
2017-02-08,77.42220667482488
2017-02-09,77.10770779683784
2017-02-10,76.76125213516724
2017-02-13,76.38032315054294
2017-02-14,75.99048933168956
2017-02-15,75.83421803993389
2017-02-16,75.77101296731385
2017-02-17,75.7240534157016
2017-02-20,75.42511908486048
2017-02-21,74.8763331090502
2017-02-22,74.35919335781458
2017-02-23,73.76207179890936
2017-02-24,73.08220225585492
2017-02-27,72.57887630210824
2017-02-28,72.7848308194777
2017-03-01,72.88281495649191
2017-03-02,73.27227928949824
2017-03-03,73.81366468769554
2017-03-06,74.66298456079905
2017-03-07,75.11044603089826
2017-03-08,75.86544240183466
2017-03-09,76.43110224554779
2017-03-10,76.87756591133382
2017-03-13,77.16058547705161
2017-03-14,77.36169785793092
2017-03-15,77.30358948615462
2017-03-16,77.12749203230813
2017-03-17,77.09317746028415
2017-03-20,77.0273532618055
2017-03-21,77.017433016715
2017-03-22,76.97281261420027
2017-03-23,77.15798825721546
2017-03-24,77.29241052753305
2017-03-27,77.42608063622792
2017-03-28,77.5178518176136
2017-03-29,77.67956415996903
2017-03-30,77.69330946421069
2017-03-31,77.60520874110331
2017-04-03,77.51592467051532
2017-04-04,77.65002764181217
2017-04-05,77.72468518469957
2017-04-06,77.89725348217021
2017-04-07,78.34976568827695
2017-04-10,78.72776039276367
2017-04-11,78.77595848856072
2017-04-12,78.75006322229363
2017-04-13,78.62991636115012
2017-04-14,78.34129552057863
2017-04-17,77.95643176463989
2017-04-18,77.19990231757855
2017-04-19,76.49545818779916
2017-04-20,75.77070946486882
2017-04-21,75.03545269433985
2017-04-24,74.65813923246535
2017-04-25,74.53499222223061
2017-04-26,74.65694001467712
2017-04-27,74.69213177531572
2017-04-28,74.66062931887426
2017-05-01,74.37929159546714
2017-05-02,74.3299526080894
2017-05-03,74.20748253805112
2017-05-04,74.28923752412001
2017-05-05,74.44557242035381
2017-05-08,74.76643228758923
2017-05-09,75.10405880513761
2017-05-10,75.28400847937682
2017-05-11,75.60119207516796
2017-05-12,76.1869245179153
2017-05-15,76.69948863120779
2017-05-16,77.16380422195354
2017-05-17,77.88150799207924
2017-05-18,78.32594969316312
2017-05-19,78.29525580535868
2017-05-22,78.28489372276758
2017-05-23,78.16812427080939
2017-05-24,77.8524773508604
2017-05-25,77.50070663778868
2017-05-26,77.42962355355199
2017-05-29,77.44596506780091
2017-05-30,78.10350849682078
2017-05-31,78.82776546359915
2017-06-01,79.72791764252929
2017-06-02,80.46839613683053
2017-06-05,80.74375055332405
2017-06-06,80.55852255060479
2017-06-07,80.21331415024596
2017-06-08,79.94801386298228
2017-06-09,80.0344556605489
2017-06-12,80.46161851741489
2017-06-13,80.55250165223374
2017-06-14,80.65749486210957
2017-06-15,80.54041704184569
2017-06-16,80.2474347622409
2017-06-19,79.97478722556993
2017-06-20,79.85382616045068
2017-06-21,79.67991189697362
2017-06-22,79.48095370094799
2017-06-23,78.99122758299724
2017-06-26,78.53398617256991
2017-06-27,77.97489010517471
2017-06-28,77.07941186060538
2017-06-29,76.62308795424184
2017-06-30,76.27776246314127
2017-07-03,75.94250894604565
2017-07-04,75.74501543174674
2017-07-05,75.97454092390822
2017-07-06,76.00326914699865
2017-07-07,75.85912261322531
2017-07-10,75.67448544676803
2017-07-11,75.5311495384037
2017-07-12,75.48532337576717
2017-07-13,75.36849450502146
2017-07-14,75.37805440033353
2017-07-17,75.49974446027109
2017-07-18,75.45394961350318
2017-07-19,75.52942015250032
2017-07-20,75.79450771385088
